Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
Rose Court Nursing and Residential Home,44-48 Water Street,,Radcliffe,Greater Manchester,M26 4DF,1617249040.0,1-305829465,1-320558631,http://www.hc-one.co.uk/homes/rose-court/,Bury,North West,2017-11-15T00:00:00Z,http://www.cqc.org.uk/location/1-320558631,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,HC-One Limited
Beckdale House,3 Beaufort Road,,Sale,Greater Manchester,M33 3WR,1619739393.0,1-101657790,1-129616096,http://www.milewood.co.uk,Trafford,North West,2017-09-06T23:00:00Z,http://www.cqc.org.uk/location/1-129616096,,Learning disabilities,Residential homes,Care Network Solutions Limited
Epworth Grange,1 Chirmside Street,,Bury,Lancashire,BL8 2BX,1617617500.0,1-102642904,1-117965549,http://www.mha.org.uk/care-homes/residential-care/epworth-grange,Bury,North West,2017-10-06T23:00:00Z,http://www.cqc.org.uk/location/1-117965549,,"Dementia,Caring for adults over 65 yrs",Residential homes,Methodist Homes
Harelands House,Samson Street,Belfield,Rochdale,Lancashire,OL16 2XW,1706651712.0,1-1387303084,1-1678286628,http://www.possabilities.org.uk,Rochdale,North West,2018-03-06T00:00:00Z,http://www.cqc.org.uk/location/1-1678286628,,"Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,PossAbilities C.I.C
Cleggsworth Care Home,7-15 Little Clegg Road,,Littleborough,Lancashire,OL15 0EA,1706379788.0,1-101682654,1-142902545,,Rochdale,North West,2020-12-19T00:00:00Z,http://www.cqc.org.uk/location/1-142902545,,"Dementia,Caring for adults over 65 yrs",Residential homes,Cleggsworth Care Home Ltd
Harmony House,"651-653 Liverpool Road, Peel Green",Eccles,Manchester,Greater Manchester,M30 7BY,1617877401.0,1-131466902,1-145022739,,Salford,North West,2017-09-26T23:00:00Z,http://www.cqc.org.uk/location/1-145022739,,Mental health conditions,Residential homes,Reliance Care Homes Limited
Spennymoor Care Home Limited,Ivy Road,Church Road,Bolton,Lancashire,BL1 6EE,1204846008.0,1-101618284,1-158732320,,Bolton,North West,2020-12-22T00:00:00Z,http://www.cqc.org.uk/location/1-158732320,,Caring for adults over 65 yrs,Residential homes,Spennymoor Care Home Limited
Davenport Manor,170 Bramhall Lane,Davenport,Stockport,Greater Manchester,SK3 8SB,1614834598.0,1-101609759,1-123960199,,Stockport,North West,2018-04-18T23:00:00Z,http://www.cqc.org.uk/location/1-123960199,,"Sensory impairments,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Davenport Manor Nursing Home Limited
Rookwood Residential Care Home,219 Walmersley Road,,Bury,Lancashire,BL9 5DF,1617617952.0,1-101712375,1-127885999,,Bury,North West,2018-10-02T23:00:00Z,http://www.cqc.org.uk/location/1-127885999,,"Sensory impairments,Learning disabilities,Mental health conditions",Residential homes,Mr & Mrs C B Ellis
Oaklands Rest Home Limited,Shaw Road,Royton,Oldham,Lancashire,OL2 6DA,1616271142.0,1-101680265,1-127491276,,Oldham,North West,2018-02-27T00:00:00Z,http://www.cqc.org.uk/location/1-127491276,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs",Residential homes,Oaklands Rest Home Limited
Glenhomes Care Home,9 Greenmount Lane,,Bolton,Lancashire,BL1 5JF,1204841988.0,1-2069860188,1-2138147773,,Bolton,North West,2019-11-13T00:00:00Z,http://www.cqc.org.uk/location/1-2138147773,,Caring for adults over 65 yrs,Residential homes,Glenhomes Care Home Limited
Withins (Breightmet) Limited,38-40 Withins Lane,Breightmet,Bolton,Lancashire,BL2 5DZ,1204362626.0,1-101612753,1-122938931,http://www.withinsresidentialhome.co.uk,Bolton,North West,2018-05-09T23:00:00Z,http://www.cqc.org.uk/location/1-122938931,,"Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Withins (Breightmet) Limited
Brookdale View,Averill Street,Newton Heath,Manchester,Lancashire,M40 1PF,1616887600.0,1-305829465,1-319278874,http://www.hc-one.co.uk/homes/brookdale-view,Manchester,North West,2019-04-16T23:00:00Z,http://www.cqc.org.uk/location/1-319278874,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Nursing homes,HC-One Limited
Belvoir Care Home Limited,632 Halifax Road,Wardle,Rochdale,Lancashire,OL16 2SQ,1706377925.0,1-126113580,1-146302943,,Rochdale,North West,2017-10-17T23:00:00Z,http://www.cqc.org.uk/location/1-146302943,,"Dementia,Caring for adults over 65 yrs",Residential homes,Belvoire Care Home Limited
10 Spennithorne Road,10 Spennithorne Road,Urmston,Manchester,,M41 5BU,1617486414.0,1-438920790,1-466088203,,Trafford,North West,2018-02-10T00:00:00Z,http://www.cqc.org.uk/location/1-466088203,,Learning disabilities,Residential homes,Future Directions CIC
Allendale Residential Home Limited,53 Polefield Road,Blackley,Manchester,Lancashire,M9 7EN,1617953051.0,1-101677379,1-145388961,,Manchester,North West,2019-07-18T23:00:00Z,http://www.cqc.org.uk/location/1-145388961,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Residential homes,Allendale Rest Home Ltd
Thames House,Thames Street,,Rochdale,Lancashire,OL16 5NY,1706751840.0,1-101618806,1-118368048,,Rochdale,North West,2019-09-16T23:00:00Z,http://www.cqc.org.uk/location/1-118368048,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Thames Health Care Limited
Claremont Lodge,66 Claremont Road,,Salford,Greater Manchester,M6 7GP,1617370864.0,1-101620353,1-112064859,,Salford,North West,2019-11-06T00:00:00Z,http://www.cqc.org.uk/location/1-112064859,,Caring for adults over 65 yrs,Residential homes,Claremont Lodge Care Limited
Bamford Grange Care Home,239 Adswood Road,Shaw Heath,Stockport,Cheshire,SK3 8PA,1614778496.0,1-116863885,1-471918559,http://www.fshc.co.uk,Stockport,North West,2020-12-17T00:00:00Z,http://www.cqc.org.uk/location/1-471918559,,"Dementia,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,Four Seasons (No 10) Limited
Laurel Court (Didsbury),1a Candleford Road,,Didsbury,Greater Manchester,M20 3JH,1614462844.0,1-102642904,1-312032716,http://www.mha.org.uk/care-homes/dementia-care/laurel-court,Manchester,North West,2019-03-13T00:00:00Z,http://www.cqc.org.uk/location/1-312032716,,Caring for adults over 65 yrs,Nursing homes,Methodist Homes
Hollands Care Home,2 Church Road,Farnworth,Bolton,Lancashire,BL4 8AL,1204574386.0,1-101685299,1-190164557,http://www.hollandsnursinghome.co.uk,Bolton,North West,2020-09-21T23:00:00Z,http://www.cqc.org.uk/location/1-190164557,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,The Hollands Care Homes Limited
Meadowview Care Home,Rear of 1072 Manchester Road,Castleton,Rochdale,Lancashire,OL11 2XJ,1706711620.0,1-120628903,1-137357835,,Rochdale,North West,2019-03-29T00:00:00Z,http://www.cqc.org.uk/location/1-137357835,,"Dementia,Caring for adults over 65 yrs",Residential homes,East And West Healthcare Limited
The Willows,Broad Lane,,Rochdale,,OL16 4PP,1706906940.0,1-199810199,1-5953635247,,Rochdale,North West,2021-01-06T00:00:00Z,http://www.cqc.org.uk/location/1-5953635247,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,GP CARE Services Limited
Lyngate Care Home,236 Wigan Road,,Bolton,Lancashire,BL3 5QE,120462150.0,1-101616604,1-112705225,,Bolton,North West,2021-01-07T00:00:00Z,http://www.cqc.org.uk/location/1-112705225,,Caring for adults over 65 yrs,Residential homes,Lyngate Healthcare Ltd
Lightbowne Hall,262 Lightbowne Road,Moston,Manchester,Greater Manchester,M40 5HQ,1616833170.0,1-101658375,1-363198488,http://www.anchor.org.uk,Manchester,North West,2019-09-11T23:00:00Z,http://www.cqc.org.uk/location/1-363198488,,"Dementia,Caring for adults over 65 yrs",Residential homes,Anchor Carehomes Limited
Moorfield House,132 Liverpool Road,Irlam,Manchester,Greater Manchester,M44 6FF,1617753348.0,1-101712636,1-119646460,http://www.moorfield-house.co.uk,Salford,North West,2019-10-21T23:00:00Z,http://www.cqc.org.uk/location/1-119646460,,Caring for adults over 65 yrs,Residential homes,Mr & Mrs S Brown
Brocklehurst Nursing Home,65 Cavendish Road,Withington,Manchester,Greater Manchester,M20 1JG,1614481776.0,1-101672010,1-1333072984,,Manchester,North West,2019-01-16T00:00:00Z,http://www.cqc.org.uk/location/1-1333072984,,"Sensory impairments,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Sure Care (UK) Limited
Greenlands Residential Home,44-46 Green Lane,,Bolton,Lancashire,BL3 2EF,1204531691.0,1-342512607,1-366404420,,Bolton,North West,2020-08-27T23:00:00Z,http://www.cqc.org.uk/location/1-366404420,,Caring for adults over 65 yrs,Residential homes,Greenlands Residential Home Limited
Hope Manor Residential Home,220 Eccles Old Road,,Salford,Greater Manchester,M6 8AL,1617887121.0,1-101662894,1-113900410,,Salford,North West,2017-07-14T23:00:00Z,http://www.cqc.org.uk/location/1-113900410,,Caring for adults over 65 yrs,Residential homes,Coveleaf Limited
Beenstock Home,19-21 Northumberland Street,,Salford,Greater Manchester,M7 4RP,,1-101677079,1-279500591,,Salford,North West,2020-01-08T00:00:00Z,http://www.cqc.org.uk/location/1-279500591,,Caring for adults over 65 yrs,"Nursing homes,Homecare agencies",Beenstock Home Management Co. Ltd
Little Heaton Care Home,81 Walker Street,Middleton,Manchester,Lancashire,M24 4QF,1616554223.0,1-101617027,1-116472155,,Rochdale,North West,2020-12-03T00:00:00Z,http://www.cqc.org.uk/location/1-116472155,,Caring for adults over 65 yrs,Residential homes,Little Heaton Care Limited
Leighton House,1 Leighton Avenue,Littleborough,Rochdale,Lancashire,OL15 0BW,,1-1387303084,1-2171302649,http://www.possabilities.org.uk,Rochdale,North West,2018-03-28T23:00:00Z,http://www.cqc.org.uk/location/1-2171302649,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,PossAbilities C.I.C
Bickham House,Green Walk,Bowdon,Altrincham,Cheshire,WA14 2SN,1619282514.0,1-101612214,1-112588858,,Trafford,North West,2020-12-16T00:00:00Z,http://www.cqc.org.uk/location/1-112588858,,Caring for adults over 65 yrs,Residential homes,Bickham House Trustees
Hollybank Care Home,211a Bolton Road,Radcliffe,Manchester,Lancashire,M26 3GN,1617249400.0,1-101717309,1-283109093,http://www.oak-lodge.com,Bury,North West,2019-10-17T23:00:00Z,http://www.cqc.org.uk/location/1-283109093,,"Dementia,Caring for adults over 65 yrs,Physical disabilities","Nursing homes,Residential homes",S R Latimer and Dr K S Kotegaonkar
The Hamlet,21 Cromwell Road,,Eccles,Greater Manchester,M30 0QT,7808716379.0,1-101681500,1-145917601,,Salford,North West,2018-07-16T23:00:00Z,http://www.cqc.org.uk/location/1-145917601,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Abbotsound Limited
Marple Dale Hall - The New Windsor,Dale Road,Marple,Stockport,Greater Manchester,SK6 6NL,1614490771.0,1-102642955,1-125862770,http://www.barchester.com,Stockport,North West,2019-11-20T00:00:00Z,http://www.cqc.org.uk/location/1-125862770,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Barchester Healthcare Homes Limited
The Royal Elms Care Home,23 Windsor Road,Newton Heath,Manchester,Greater Manchester,M40 1QQ,1616819173.0,1-101712609,1-134565173,,Manchester,North West,2020-12-08T00:00:00Z,http://www.cqc.org.uk/location/1-134565173,,Caring for adults over 65 yrs,Residential homes,Rajanikanth Selvanandan
Astley Grange,288 Blackburn Road,,Bolton,Lancashire,BL1 8DU,1204365435.0,1-976116434,1-997688587,,Bolton,North West,2018-08-03T23:00:00Z,http://www.cqc.org.uk/location/1-997688587,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Astley Grange Homes Limited
Oakland House Nursing Home,290-292 Dickenson Road,Longsight,Manchester,Greater Manchester,M13 0YL,1612572395.0,1-101675192,1-121484482,,Manchester,North West,2020-09-08T23:00:00Z,http://www.cqc.org.uk/location/1-121484482,,"Caring for adults under 65 yrs,Mental health conditions",Nursing homes,Equilibrium Healthcare Limited
Castlerea House,18 Hope Street,Higher Broughton,Salford,Greater Manchester,M7 2ES,1612780181.0,1-192809876,1-230569204,,Salford,North West,2020-12-11T00:00:00Z,http://www.cqc.org.uk/location/1-230569204,,Mental health conditions,Residential homes,Juniper Manton Limited
Yew Tree Manor Nursing and Residential Care Home,Yew Tree Lane,Northern Moor,Manchester,Greater Manchester,M23 0EA,1619452083.0,1-256017595,1-283360594,,Manchester,North West,2020-04-29T23:00:00Z,http://www.cqc.org.uk/location/1-283360594,,"Dementia,Caring for adults over 65 yrs",Nursing homes,Zinnia Healthcare Limited
Acorn Lodge Nursing Home,1 Guido Street,Failsworth,Manchester,Greater Manchester,M35 0AL,1616818000.0,1-138297014,1-151959980,http://www.acornlodgecarehome.co.uk,Oldham,North West,2019-10-16T23:00:00Z,http://www.cqc.org.uk/location/1-151959980,,"Dementia,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,Oldham Property Investments Limited
Reinbek,287 Bramhall Lane,Davenport,Stockport,Greater Manchester,SK3 8TB,1614835252.0,1-101650168,1-119415837,http://www.boroughcare.org.uk,Stockport,North West,2019-11-26T00:00:00Z,http://www.cqc.org.uk/location/1-119415837,,Caring for adults over 65 yrs,Residential homes,Borough Care Ltd
Appleton Lodge,Lingard Lane,"Bredbury, Stockport",Manchester,Lancashire,SK6 2QT,1614306479.0,1-305829465,1-319142475,http://www.hc-one.co.uk/homes/appleton-lodge,Stockport,North West,2018-11-29T00:00:00Z,http://www.cqc.org.uk/location/1-319142475,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,HC-One Limited
Brookfield Residential Care Home Limited,St Anns Road,Prestwich,Manchester,Lancashire,M25 9QE,1617731165.0,1-101662912,1-119737305,,Bury,North West,2020-08-13T23:00:00Z,http://www.cqc.org.uk/location/1-119737305,,Mental health conditions,Residential homes,Brookfield Residential Care Home Limited
Royal Mencap Society - 62 Wright Street,Horwich,,Bolton,Lancashire,BL6 7HY,1204694286.0,1-102642790,1-119188408,http://www.mencap.org.uk,Bolton,North West,2018-05-02T23:00:00Z,http://www.cqc.org.uk/location/1-119188408,,Learning disabilities,Residential homes,Royal Mencap Society
Marbury House,Marbury Road,Heaton Chapel,Stockport,Greater Manchester,SK4 5NU,1614322825.0,1-101650168,1-119415807,http://www.boroughcare.org.uk,Stockport,North West,2020-12-12T00:00:00Z,http://www.cqc.org.uk/location/1-119415807,,"Dementia,Caring for adults over 65 yrs",Residential homes,Borough Care Ltd
Harboro,34 Harboro Road,,Sale,Cheshire,M33 5AH,1619732296.0,1-101655108,1-711024161,http://www.stockdales.org.uk,Trafford,North West,2018-03-13T00:00:00Z,http://www.cqc.org.uk/location/1-711024161,,"Caring for adults under 65 yrs,Learning disabilities",Residential homes,"Stockdales Of Sale, Altrincham & District Ltd"
The Dell,55 Sibley Street,,Manchester,,M18 8LN,1612234709.0,1-4950069705,1-8222100885,http://www.franklincaregroup.co.uk,Manchester,North West,2019-03-22T00:00:00Z,http://www.cqc.org.uk/location/1-8222100885,,"Dementia,Caring for adults over 65 yrs",Residential homes,Franklin Care Group Limited
Abbotsford Nursing Home - Manchester,8-10 Carlton Road,Whalley Range,Manchester,Greater Manchester,M16 8BB,1612268822.0,1-101617125,1-128317035,,Manchester,North West,2019-12-03T00:00:00Z,http://www.cqc.org.uk/location/1-128317035,,Caring for adults over 65 yrs,Nursing homes,Abbotsford Care Home Limited
Chestnut House,69 Crumpsall Lane,Crumpsall,Manchester,Greater Manchester,M8 5SR,1617214949.0,1-101672435,1-126288055,,Manchester,North West,2021-01-15T00:00:00Z,http://www.cqc.org.uk/location/1-126288055,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Residential homes,Beech House Care Homes Ltd
The White House,84 Wythenshawe Road,Northenden,Manchester,Lancashire,M23 0DF,1619987632.0,1-101619265,1-112484078,,Manchester,North West,2018-04-18T23:00:00Z,http://www.cqc.org.uk/location/1-112484078,,Caring for adults over 65 yrs,Residential homes,Ixora Healthcare Limited
Apsley House,103 Queens Park Road,,Heywood,Greater Manchester,OL10 4JR,1706360309.0,1-138372613,1-253468851,,Rochdale,North West,2018-01-06T00:00:00Z,http://www.cqc.org.uk/location/1-253468851,,Learning disabilities,Residential homes,Wellesley House Limited
Berrycroft Manor,32 Berrycroft Lane,Romiley,Stockport,Greater Manchester,SK6 3AU,1614943990.0,1-131464996,1-151763052,http://www.berrycroftmanor.co.uk,Stockport,North West,2019-01-12T00:00:00Z,http://www.cqc.org.uk/location/1-151763052,,"Dementia,Caring for adults over 65 yrs",Residential homes,Finbrook Limited
Oakwood Acquired Brain Injury Rehabilitation Service,Radford Close,Offerton,Stockport,Greater Manchester,SK2 5DL,1614199139.0,1-102642667,1-120087213,http://www.leonardcheshire.org,Stockport,North West,2019-03-22T00:00:00Z,http://www.cqc.org.uk/location/1-120087213,,"Sensory impairments,Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities","Residential homes,Rehabilitation (illness/injury)",Leonard Cheshire Disability
The Peele,15a Walney Road,"Benchill, Wythenshawe",Manchester,Greater Manchester,M22 9TP,1614908057.0,1-9103963246,1-9409604175,http://www.c-i-c.co.uk,Manchester,North West,2020-03-28T00:00:00Z,http://www.cqc.org.uk/location/1-9409604175,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,Hasigyn Limited
Laburnum Lodge,Breightmet Fold Lane,,Bolton,Lancashire,BL2 6PP,1204335455.0,1-101656323,1-126778514,http://www.bolton.gov.uk,Bolton,North West,2020-11-24T00:00:00Z,http://www.cqc.org.uk/location/1-126778514,,Dementia,Residential homes,Bolton Council
The Grange,154 Reddish Road,,Stockport,Greater Manchester,SK5 7HZ,1614760702.0,1-101712681,1-111607614,,Stockport,North West,2020-12-09T00:00:00Z,http://www.cqc.org.uk/location/1-111607614,,Caring for adults over 65 yrs,Residential homes,Z Yasin and Mrs B B Walia
Rushes House Care Home,2 St. Martins Road,,Marple,Cheshire,SK6 7BY,1614277332.0,1-101718794,1-119211780,,Stockport,North West,2019-07-23T23:00:00Z,http://www.cqc.org.uk/location/1-119211780,,"Dementia,Mental health conditions,Caring for adults over 65 yrs",Residential homes,Ms Mary B Rushe
Bowerfield House,1 Broadwood Close,Disley,Stockport,Greater Manchester,SK12 2NJ,1663764291.0,1-116865745,1-121967828,,Stockport,North West,2020-04-03T23:00:00Z,http://www.cqc.org.uk/location/1-121967828,,Dementia,Nursing homes,Bowerfield House Limited
Beech House,68 Manchester Road,,Heywood,Lancashire,OL10 2AP,1706368710.0,1-144172054,1-155068540,,Rochdale,North West,2020-12-09T00:00:00Z,http://www.cqc.org.uk/location/1-155068540,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Residential homes,Prylor Properties Limited
Priestnall Court,14-16 Priestnall Road,Heaton Mersey,Stockport,Greater Manchester,SK4 3HR,1614321124.0,1-135520051,1-150067598,http://www.priestnallcourt.co.uk,Stockport,North West,2018-01-05T00:00:00Z,http://www.cqc.org.uk/location/1-150067598,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Halliwell Homes M/C Limited
Mellor Nook Residential Care Home,133-135,"Moor End Road, Mellor",Stockport,,SK6 5NQ,1614274293.0,1-8994751736,1-9151700115,,Stockport,North West,2018-09-07T23:00:00Z,http://www.cqc.org.uk/location/1-9151700115,,Caring for adults over 65 yrs,Residential homes,Mellor Nook limited
Bryn Haven,Brinnington Road,,Stockport,Cheshire,SK5 8BS,1614302337.0,1-101650168,1-119415747,http://www.boroughcare.org.uk,Stockport,North West,2020-11-13T00:00:00Z,http://www.cqc.org.uk/location/1-119415747,,"Dementia,Caring for adults over 65 yrs",Residential homes,Borough Care Ltd
Mariana House,45-47 Alexandra Road South,Whalley Range,Manchester,Greater Manchester,M16 8GH,1612264000.0,1-131475244,1-156107350,http://www.marianahouse.co.uk,Manchester,North West,2019-07-08T23:00:00Z,http://www.cqc.org.uk/location/1-156107350,,Caring for adults over 65 yrs,Residential homes,Mr Anthony Doherty
Hadfield House,39-41 Queens Road,,Oldham,Lancashire,OL8 2AX,1616200348.0,1-101667914,1-125056348,,Oldham,North West,2018-12-19T00:00:00Z,http://www.cqc.org.uk/location/1-125056348,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs",Residential homes,Masterpalm Properties Limited
Vale House,Vale Avenue,Horwich,Bolton,Lancashire,BL6 5RF,1204639539.0,1-119235696,1-2146517935,,Bolton,North West,2018-06-20T23:00:00Z,http://www.cqc.org.uk/location/1-2146517935,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Physical disabilities",Nursing homes,Consensus Support Services Limited
Lever Edge Care Home,Lever Edge Lane,Great Lever,Bolton,Lancashire,BL3 3EP,1204660011.0,1-119232955,1-135650827,http://www.hillcare.net,Bolton,North West,2020-11-27T00:00:00Z,http://www.cqc.org.uk/location/1-135650827,,Caring for adults over 65 yrs,Residential homes,Hill Care 1 Limited
Polonia Residential Home,17 Demesne Road,,Manchester,Lancashire,M16 8HG,1612320719.0,1-4015209550,1-4235928983,http://www.poloniahome.com,Manchester,North West,2019-05-24T23:00:00Z,http://www.cqc.org.uk/location/1-4235928983,,"Dementia,Caring for adults over 65 yrs",Residential homes,Polonia Residential Home
Brabyns House,98 Station Road,Marple,Stockport,Greater Manchester,SK6 6PA,1614274886.0,1-127687823,1-209171441,,Stockport,North West,2018-07-11T23:00:00Z,http://www.cqc.org.uk/location/1-209171441,,Caring for adults over 65 yrs,Residential homes,Brabyns House Limited
Granville,10 Victoria Road,Eccles,Manchester,Lancashire,M30 9HB,1617891041.0,1-2024594488,1-2078094412,,Salford,North West,2017-07-21T23:00:00Z,http://www.cqc.org.uk/location/1-2078094412,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Eating disorders,Physical disabilities",Residential homes,Aspire: for Intelligent Care and Support C.I.C
Southlands Residential Home Limited,Withins Lane,Breightmet,Bolton,Lancashire,BL2 5DZ,1204528369.0,1-101712303,1-159267589,,Bolton,North West,2018-07-30T23:00:00Z,http://www.cqc.org.uk/location/1-159267589,,"Sensory impairments,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Southlands Residential Home Limited
Four Seasons Residential Care Home,81 Halifax Road,,Littleborough,Lancashire,OL15 0HL,1706376809.0,1-101712573,1-145274778,,Rochdale,North West,2017-12-09T00:00:00Z,http://www.cqc.org.uk/location/1-145274778,,Caring for adults over 65 yrs,Residential homes,Mrs W Collinson
Moorhaven Care Home Ltd,Moorhaven Nursing Home,193 Ripponden Road,Oldham,Lancashire,OL1 4HR,1616282064.0,1-126113386,1-138452042,,Oldham,North West,2020-02-26T00:00:00Z,http://www.cqc.org.uk/location/1-138452042,,"Dementia,Caring for adults over 65 yrs",Nursing homes,Moorhaven Care Home Ltd
The Cedars Rest Home Limited,23 Langham Road,Bowdon,Altrincham,Cheshire,WA14 2HX,1619284361.0,1-101668838,1-125016355,http://www.caringuk.com,Trafford,North West,2019-11-07T00:00:00Z,http://www.cqc.org.uk/location/1-125016355,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Cedars Rest Home Limited(The)
Heathside Retirement Home,74 Barrington Road,,Altrincham,Cheshire,WA14 1JB,1619413622.0,1-101712734,1-117483647,,Trafford,North West,2020-09-15T23:00:00Z,http://www.cqc.org.uk/location/1-117483647,,Caring for adults over 65 yrs,Residential homes,Mr Andrew Meehan & Mrs Frances Anne Meehan
Wyncourt Nursing Home,162 Park Road,Timperley,Altrincham,Cheshire,WA15 6QH,1619621290.0,1-101717390,1-117040835,http://www.wyncourtnursinghome.co.uk,Trafford,North West,2018-09-21T23:00:00Z,http://www.cqc.org.uk/location/1-117040835,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Susan Mattinson
Victoria Nursing Home,9 Anson Road,Victoria Park,Manchester,Greater Manchester,M14 5BY,1612240302.0,1-101614445,1-114610100,,Manchester,North West,2018-05-16T23:00:00Z,http://www.cqc.org.uk/location/1-114610100,,"Dementia,Mental health conditions",Nursing homes,Homesend Limited
Hayling Road,34 Hayling Road,,Sale,Cheshire,M33 6GW,1619734306.0,1-101655108,1-113737505,http://www.stockdales.org.uk,Trafford,North West,2019-02-20T00:00:00Z,http://www.cqc.org.uk/location/1-113737505,,"Learning disabilities,Physical disabilities",Residential homes,"Stockdales Of Sale, Altrincham & District Ltd"
Meavy View Retirement Home,146 Milkstone Road,,Rochdale,Lancashire,OL11 1NX,1706861876.0,1-3162015728,1-3245687527,,Rochdale,North West,2020-11-27T00:00:00Z,http://www.cqc.org.uk/location/1-3245687527,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Residential homes,MTCARE Property Limited
Lighthouse,44 Farrant Road,,Manchester,Lancashire,M12 4PF,1612252777.0,1-1885637452,1-2042041405,,Manchester,North West,2020-10-15T23:00:00Z,http://www.cqc.org.uk/location/1-2042041405,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities","Residential homes,Rehabilitation (illness/injury)",Wellington Healthcare Limited
Edge Hill Rest Home,315 Oldham Road,Royton,Oldham,Lancashire,OL2 6AB,1616248149.0,1-1724973860,1-2001146447,,Oldham,North West,2020-12-12T00:00:00Z,http://www.cqc.org.uk/location/1-2001146447,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs",Residential homes,Edge Hill Limited
Blackrod House,Chorley Road,Blackrod,Bolton,Lancashire,BL6 5JS,1204690287.0,1-2041399379,1-2061866566,http://www.blackrodhouse.co.uk,Bolton,North West,2017-12-20T00:00:00Z,http://www.cqc.org.uk/location/1-2061866566,,"Dementia,Caring for adults over 65 yrs",Residential homes,Blackrod House Limited
Springvale Resource Centre,42 Spring Vale,Middleton,Manchester,Lancashire,M24 2HR,1616433142.0,1-4881292027,1-5766016166,http://www.nationalcaregroup.com,Rochdale,North West,2019-01-05T00:00:00Z,http://www.cqc.org.uk/location/1-5766016166,,"Sensory impairments,Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",Residential homes,National Neurological Services Ltd
Boston House,Broadway Street,,Oldham,Lancashire,OL8 1XR,1615092921.0,1-101653489,1-7812013440,,Oldham,North West,2020-11-18T00:00:00Z,http://www.cqc.org.uk/location/1-7812013440,,"Sensory impairments,Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Accomplish Group Limited
Abbey Hey Care Home,Delamere Street,,Oldham,Lancashire,OL8 2BY,1616244115.0,1-1108883324,1-1145266322,http://www.careww.co.uk/abbey-hey,Oldham,North West,2018-07-10T23:00:00Z,http://www.cqc.org.uk/location/1-1145266322,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Care Worldwide (Manchester) Limited
